"srtm","clc","temp","ndvi","savi","x","y"
175.743005173893,1,13.8522222219749,0.615806090637547,0.418944941555745,750297.978880427,716731.623174842
149.811077083645,1,15.4842094446288,0.555881631250593,0.37948638944005,753482.893829957,717331.353172731
272.858346856174,NA,12.7608141162626,0.606746216273457,0.374557224476702,747242.536545222,720589.008522552
187.277708217259,1,14.3246478770728,0.375617015755006,0.238624584722274,755798.85635353,718828.089526292
260.136617139668,1,15.9085490325073,0.459839302068181,0.308759945229009,746963.546789429,717533.467383232
160.141580555281,2,9.94111784387619,0.560028787622846,0.34536265107979,756801.617982137,720474.052316468
192.922348251365,2,13.5147505595973,0.600958801119558,0.373724877355721,752698.02453861,718623.599810671
234.998873564197,1,12.9192252004647,0.497919508118693,0.297850347426126,749399.808828739,716955.233659815
228.731181289988,1,19.2471320014384,0.381963358428795,0.207798104910472,748766.623868603,713888.966231864
240.547378404748,2,10.5291050774845,0.579515926983363,0.380526793488039,749290.410568897,718860.992749553
172.03069416363,1,14.5220815339804,0.438982865334081,0.296946395574086,749696.692967267,715940.225001123
224.855441494721,2,15.6621241380898,0.583530902390771,0.328426059764283,752272.576997952,714962.746008109
226.181675958208,1,22.7481898933976,0.589528467495973,0.369202355879911,753490.486883345,712807.787211906
256.370142123913,1,15.0336572745354,0.490762049231313,0.331626768125236,747227.731844083,717697.466157746
222.757685441519,1,23.3500261029367,0.447973456948156,0.304157353117425,751710.366858538,713037.86568835
148.705578876322,2,12.1652580053546,0.610131465064545,0.389924122551903,753865.071627818,718293.556601848
228.907392466134,1,21.9426784248778,0.513779197113802,0.315250410089873,750992.914322907,713508.049603548
150.269950433723,1,12.0688557678801,0.417803609513785,0.229870799554671,753878.742368518,717661.732549515
231.121314756456,1,19.2370610767868,0.604874560143234,0.40171772293449,746006.778920897,713463.373965766
215.546194421632,1,21.3294125502629,0.490795113959047,0.308376391274625,750695.589121404,713476.893918585
225,4,8.89894908002681,0.298100744269224,0.15249719294254,747304.095896286,716296.212472763
255.961245504771,2,12.5526864285138,0.605239984327981,0.372946671495463,748877.80394462,719656.139864918
242.518212605134,2,14.7078226814186,0.584744526391029,0.363160218591423,748974.290756859,720650.497317981
210.866589601138,1,16.4190194786046,0.657953727141903,0.42840129805983,752318.921995686,715800.521463972
185.203710849673,1,11.9117292039062,0.523098466251907,0.355769692069295,751633.360547217,719467.888319116
228.589178646943,1,11.9834645961687,0.499470826751696,0.324124098240487,748262.351374013,716676.978347521
147.596211779577,1,12.5480636876864,0.455702939933972,0.267623635088774,754950.772538712,719106.933728974
269.60746070497,2,12.2326159109509,0.606173494875565,0.399206551153332,749533.604796972,719752.298411947
249.979745785623,1,14.7438769144478,0.584742089576287,0.380427374882411,748247.891715133,721011.75506882
230.124414192016,1,23.6770248393143,0.551484342929302,0.379641073680374,746703.311190446,713611.781861257
222.329708110327,1,18.9516413468423,0.472302730856903,0.28873970259983,755052.368924528,716591.933206316
208.753771907738,2,13.3798059373745,0.426226274446966,0.28721373130419,750158.087591411,714389.236676689
151.219802114709,1,15.2774090467918,0.518273620604018,0.350207550393568,756273.758365266,720971.46432377
261.255710034116,1,16.036140588034,0.526873831927416,0.3514325345375,749816.137722732,720928.889463168
221.92279696233,1,17.6653487636362,0.525322735166914,0.351342798095564,746955.880280101,714635.885165852
199.480887730171,1,20.6858438084644,0.526549992452968,0.330343330501925,753672.780072162,714654.096493345
232.140711187653,1,16.919942726673,0.373194271784301,0.269337051506217,748422.169916682,714312.974457067
176.505103633613,1,16.0193024761086,0.649131139238992,0.428103049105959,752022.735257464,715886.085872125
146.514835026993,1,11.3956123325403,0.453052079372006,0.256526865582971,754047.638068899,717577.7199012
163.014828079205,4,8.80599161116939,0.2636905573511,0.119520979832306,751961.877727051,719130.213892382
245.93549877486,2,11.4938084476037,0.610971888726681,0.383059791822971,748808.930067039,719069.337465387
163.713758898326,2,11.0482216430246,0.554627770242742,0.339990334742595,756869.470111065,720852.653314617
196.506800810076,1,18.62755980516,0.589091346345915,0.340258129172722,753633.931774445,715661.503646296
230.065037000625,1,21.5254540878165,0.414302102826882,0.215673049060138,746186.511528044,713202.684134539
183.606048301424,1,19.4213882079052,0.592190706390008,0.369612017971509,753736.669534953,715573.361555483
181.464901489829,1,17.4822859165073,0.658634835066584,0.406619750164196,753827.528390559,715663.772449117
202.225706632827,1,22.5915807351673,0.515386396654233,0.347222572919232,754876.403873662,714536.723374199
203.037256597233,1,17.347014712937,0.491281405956199,0.322322888205346,751175.780615489,715048.654618781
158.245369368982,1,16.9382733799175,0.576838338443105,0.394971721212012,751568.028676634,717229.507402476
231.835137346813,2,10.3243535246146,0.52496312221953,0.375732172451005,746917.008390365,716265.228335854
