"ndvi","x","y"
0.552180997349608,749662.209706685,715216.792662736
0.628456500892797,748599.026564901,720236.313119154
0.54681723017862,746737.153778017,716508.289318826
0.447447614338227,754739.478991622,718000.437612381
0.228244799944401,747577.521089184,716279.663771536
0.4114736792129,748973.502261819,715922.310376909
0.618604602021916,754138.617327631,717896.135259192
0.584298651358138,746242.174662723,718191.825614717
0.535228727955344,752951.897139874,715902.862385433
0.482333742126191,754402.480487615,714278.515092578
0.419127401943548,754845.011864815,718556.717375215
0.486279876079238,756320.195386511,719935.290501263
0.513574903314689,751383.314121681,720587.204647806
0.456950629037059,750327.712398282,714386.254288923
0.555324100377687,746697.43652756,716648.77617098
0.49282008925691,748040.817780938,715165.893351208
0.455154491250799,748291.302073282,716316.395954113
0.506249915598053,746466.898346516,718015.007330175
0.556522071705219,747442.959842692,719751.97549678
0.547549986041207,754959.061121546,716545.115832012
0.510997804387482,755866.53942362,716821.334508803
0.505942795354216,755293.892866933,715144.198930558
0.52653074667019,750954.374147869,716515.915149521
0.207388901888651,748010.91792937,717955.246340703
0.538002262440451,745851.076023903,718407.226331305
0.471016812455004,754813.187487313,716728.870590698
0.571793483059907,751633.266735343,712764.755874198
0.587781261929322,751420.549717947,715750.934346091
0.467317608332595,747467.182626842,712890.438222062
0.653723484799836,747981.251688023,719747.124205451
0.601795633298672,754237.949640743,715835.372127887
0.533217308559518,746510.671561361,714597.641438466
0.451423281201395,752033.082102243,721202.841823544
0.475558297001631,750240.592320153,716304.243873578
0.556846348374773,746835.81680165,716407.647106718
0.4691835508167,749082.021543976,720117.360925894
0.540622950750514,755332.0326403,712846.818068396
0.489479962270691,755785.052536811,713031.561840024
0.533937477206515,750335.580848906,717914.919192713
0.429296299363873,747158.583737557,716351.517431285
0.512903021679523,751998.537108545,721204.839897599
0.608997427113065,753906.359539892,719800.264072116
0.27226373684408,753614.941614946,719165.081301328
0.44602208387181,754311.255805354,717626.293828037
0.432436528986985,748857.599351016,717221.804575618
0.534400610016487,749520.564935867,720147.552592751
0.310455516308649,751904.101287705,718351.115587573
0.610790108255095,750828.393697912,719092.122147676
0.48871797470409,754399.865962322,717288.478804599
0.687971379327465,753012.313894728,714849.576718505
0.541007107366734,747899.638782841,719253.149445649
0.527479497161668,754540.006581588,717164.112339761
0.538073849199762,753361.381892023,715367.383316454
0.463254337120503,754030.989097269,719285.571299564
0.644760861600987,753928.573670537,714884.98328365
0.593339456124896,751361.860045252,714510.560820471
0.61461906696791,753927.755180501,716138.303671252
0.50501996221762,754234.935892714,713107.977619465
0.423655821787699,756526.980593247,719000.390301641
0.471136454033311,749786.584337194,717611.169168573
0.489028803100593,756833.866446473,720236.881778311
0.636549209489284,749905.423031921,719980.175315138
0.492711784136293,755236.868338365,712733.56561489
0.412201365045793,748633.921556113,713747.286457192
0.47987990244869,746236.269009531,716703.919961598
0.497159501659735,754842.535575713,715756.054441031
0.486565578446072,746997.499228254,718282.011548799
0.52653074667019,750963.934980557,716510.787909176
0.460654777418901,749917.449077571,717695.378854644
0.414897840954368,755897.450354873,718520.122991126
0.550537515554873,754026.361753609,717532.920808043
0.430343794614792,747483.90002464,713485.48640668
0.52977856341983,750214.913939036,720792.042798471
0.58329524699269,746596.324529938,718893.180358108
0.498443700351807,753332.252662511,718891.983289566
0.508938553573249,751537.075045557,715586.360601854
0.496393105517322,750582.331744829,714050.157013159
0.472349349717831,749623.168965689,716866.003556397
0.476904465469332,755330.132400972,714000.834176686
0.644093566005034,749505.42143311,719236.431556042
0.511778902333972,754991.994938691,717285.085163783
0.617578739564434,753938.711197023,714813.773249459
0.436487524183995,748234.795973011,714740.546879392
0.644734151707034,748406.643273149,720470.470786911
0.490920445992977,750081.926446539,717636.066372093
0.619908557435525,752140.297713115,714417.260733094
0.552642278445917,753185.686074927,712671.667346727
0.575403943509612,753460.295688306,718817.889885377
0.59641980324502,750818.540204432,714435.491265874
0.435464994599571,755296.418703267,714404.525459182
0.261714420672875,753756.308878154,714076.590661775
0.59773990350931,749796.64810968,719996.50533117
0.516477273995668,755083.790100721,715346.014961224
0.606991475464639,752634.459501341,719659.227856617
0.580543196891436,750304.970825672,716591.250099983
0.222222638417875,748659.424887908,717931.54554389
0.572718362765527,751499.60632874,718612.910864424
0.539374222578507,755428.892861107,717470.454550605
0.484929336643733,754026.272207725,717050.682494339
0.513478959890209,754268.855520935,717235.153732743
0.30289932019005,749879.083414281,718882.588611092
0.526355745244694,746401.959862538,715021.556240316
0.458901631525368,753070.72359017,720688.249517154
0.628756953208789,750767.641593086,719116.310320642
0.514003493761188,752404.200097326,719281.026618924
0.442586849939514,746642.026938557,714064.946108159
0.427100420748505,748427.966461111,713541.636114191
0.422689797618417,749480.160727865,716107.783335891
0.423564735307285,751632.579266837,716947.34725922
0.569293248203168,755013.785887329,719904.643892195
0.541830007868696,750328.679684367,719730.710200738
0.583445525881176,747435.119641282,719863.255613368
0.472111704537222,747054.469475219,715953.548407029
0.606350109470585,751826.514375865,715522.137073722
0.626857147771551,749448.143986921,719581.895994838
0.533867738040096,749201.152934091,718047.571516853
0.561791536018759,749951.314634428,719198.596078303
0.518028689028939,750249.686350216,712735.544016954
0.434416973934619,752450.543663305,721113.828512352
0.553713665653976,755196.646434263,713149.645703655
0.594611902140676,753494.205549724,713560.585765984
0.512023526715123,752014.720589548,720274.919047352
0.525377238884069,750149.686163413,713075.210790556
0.495189443304136,750345.796674815,717633.73485386
0.457532171599698,752435.785576695,719995.280214097
0.570646003845577,753824.875034905,713423.690982457
0.499692072171356,749314.690083003,714405.223347168
0.435803550423089,750922.346924244,715615.022176426
0.48533318546591,754857.757524262,714436.253929209
0.565765603832769,755894.127680467,720045.440809052
0.426440705178042,746398.23591357,713477.569179457
0.66651377687949,748887.963021943,719589.053204056
0.524026518804935,749150.764945584,721247.162693586
0.540801664238968,750100.682945253,720708.071815591
0.261714420672875,753803.765258245,714130.442357209
0.503175410471518,755267.813320366,712783.039965328
0.503608194665906,751101.084834387,717796.345593255
0.506325600793115,751618.159827493,714372.8869082
0.604684633979338,748545.977806485,720421.141318005
0.523909260979502,756799.93626638,721159.417635422
0.503044830844063,754522.402802495,721139.989142936
0.49134400201607,750717.643302685,715248.381920081
0.499893351114341,751868.614763542,717925.397438031
0.615457353351853,753527.462105156,718612.382864874
0.54006051635776,753482.25023755,714931.619403657
0.287818050845517,753219.696582319,719482.907684442
0.488607510191532,753884.677423247,716303.669078868
0.516643619976421,750579.554864397,713929.001939069
0.563064420626516,746967.178275779,719284.753788408
0.498635760807263,755117.373420918,718856.717335206
0.581374332557052,747868.057694541,720603.148278888
0.490784677004397,745889.939663751,717936.53989419
0.558687856731022,750778.841577432,717246.979703601
0.498326677618165,748254.544302557,715653.329693448
0.596469613985147,751595.75851753,719653.768749233
0.421955775019352,751257.894743959,717772.427076843
0.466016029313456,754472.283946631,714633.628813174
0.420603310266966,754218.48599621,720884.430760439
0.52653074667019,750985.379888966,716547.829462435
0.397756023900753,753029.055714857,713029.106709506
0.627367337358996,745568.382520723,713668.716420677
0.484407079590892,749420.269815562,715303.545064848
0.463814119136619,746381.414697581,713171.370435949
0.553239430957076,754494.658212928,713937.566678371
0.544263290767223,754424.207390508,713824.874203723
0.34037232503892,750037.703849639,713829.896013137
0.446611176411031,749613.954843866,713206.371479254
0.313196572927853,753265.352128913,715045.512600016
0.53293108116285,750375.98767026,720106.233116608
0.577592725817881,746517.488944294,714006.013452556
0.479599817787355,745795.175606472,715196.808769923
0.584686995235821,749266.733195501,719815.610736009
0.462767296609378,750995.400482601,720239.162952822
0.556985012704145,749944.385348415,717784.023565944
0.492095082763645,755914.352520894,715228.861008059
NA,755979.726535099,714314.997107532
