X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
454080,5972310,12.596252,0.302326,22.64801,0.153846,312,4,2125.13525,51.816475,73.277847
456630,5972370,18.514343,0.130435,32.505463,-0.090909,122,1,1395.88684,51.841232,73.296921
476130,5972520,17.335571,0.30137,21.299835,0.410959,222,3,9966.00684,52.469543,73.768753
468600,5972610,20.746704,0.186207,32.093079,0.186667,231,3,5882.5249,51.818676,73.282974
453840,5972640,19.265625,0.037037,34.245575,-0.177419,122,1,1905.17712,51.815617,73.278824
460500,5972640,13.52832,0.145455,22.64801,0.148515,311,4,1764.65295,51.80587,73.267754
460110,5972670,13.52832,0.196078,23.755646,0.178947,311,4,1612.7616,51.802292,73.26371
472380,5972670,19.673309,0.1125,27.738922,0.16,231,3,8150.39893,52.519623,73.809494
476490,5972700,15.082031,0.067797,23.107269,-0.058824,231,3,9946.48144,52.455284,73.756813
454320,5972730,11.103821,0.356322,22.64801,0.121951,312,4,1650.81799,51.647873,73.150719
469680,5972730,19.506165,0.296552,30.875763,0.213793,231,3,6535.87012,51.807415,73.270546
473580,5972730,16.922516,0.126984,23.107269,0.135593,231,3,8573.75684,51.800407,73.262527
471090,5972790,21.431244,0.213675,32.496735,0.150442,242,2,7531.43408,52.387093,73.710464
458310,5972850,10.670593,0.318182,20.799713,0.135802,312,4,997.246216,51.810753,73.274536
467130,5972850,11.819702,0.285714,22.249237,0.195122,312,4,4709.23584,52.73859,74.00309
470670,5972850,20.730896,0.377483,30.013977,0.338235,242,2,7191.24463,51.809502,73.273727
475680,5972850,14.083282,0.437909,18.362793,0.409091,211,3,9455.52246,51.825825,73.292969
472860,5972880,17.759003,0.15,28.436646,0.192053,231,3,8130.49805,51.799023,73.261742
475080,5972880,14.090607,0.440994,18.089661,0.460317,211,3,9139.41992,51.609993,73.118469
475350,5972910,13.496246,0.512821,18.936157,0.21875,211,3,9243.11621,51.921185,73.35144
461310,5972940,13.918427,0.142857,24.0224,0.192308,311,4,1749.28552,51.802887,73.266022
473970,5972970,14.307434,0.04698,24.0224,0,231,3,8546.26269,51.821529,73.279114
459750,5973030,11.077423,0.213483,19.868652,0.162791,313,4,1158.0155,51.802185,73.265648
453570,5973240,14.526642,0.07563,25.839569,-0.059829,312,4,1453.99451,51.807549,73.27272
456660,5973240,10.145386,0.307692,20.334778,0.108108,312,4,540,46.307091,68.844604
459720,5973240,15.467712,0.172414,25.415955,0.188679,313,4,948.683289,51.800163,73.264481
460950,5973270,13.31665,0.173913,22.187683,0.05618,312,4,1318.97693,51.799736,73.264221
470700,5973330,10.892059,0.326087,22.64801,0.180723,312,4,6876.35059,51.948307,73.380585
471960,5973420,21.345398,0.194245,30.308716,0.164179,242,2,7297.83545,51.800545,73.266579
462330,5973480,16.866608,0.177419,24.839478,0.203252,311,4,1660.87329,51.873039,73.320633
476400,5973480,18.890503,0.04,27.066681,0.234043,231,3,9196.3584,51.793419,73.258522
454200,5973570,12.407379,0.310345,22.64801,0.135802,312,4,910.933594,50.599937,72.34063
458430,5973570,16.797272,0.07438,27.639648,0.009346,242,2,313.209198,52.490532,73.805435
457860,5973600,11.134674,0.372093,20.334778,0.139241,312,4,182.48288,52.316261,73.66153
462600,5973600,16.235779,0.09375,23.925507,0.178295,231,3,1650.81799,52.488937,73.786972
469500,5973630,13.918427,0.152174,24.0224,0.081633,311,4,5797.7666,51.665558,73.166214
460560,5973690,12.56131,0.225806,21.511688,0.217391,312,4,797.119812,51.799057,73.265808
463410,5973690,10.764893,0.121951,18.978516,0.362832,313,4,1918.59326,44.519096,67.238327
476160,5973720,16.714752,0.405797,25.2146,0.244755,211,3,8879.29004,51.79908,73.263313
469320,5973750,12.519928,0.272727,23.178772,0.172414,312,4,5583.9502,51.493908,73.024605
460620,5973780,11.560364,0.222222,20.334778,0.149425,312,4,730.547729,51.798183,73.265312
463380,5973810,11.056427,0.177778,19.162567,0.278351,313,4,1797.9989,46.953884,68.800583
476700,5973870,20.385193,0.246753,30.750061,-0.060976,211,3,8936.67676,51.525108,73.060165
473130,5973900,17.379791,0.068182,30.308716,-0.154639,211,3,7328.90869,51.567558,73.091171
462540,5973930,13.918427,0.164835,22.64801,0.182796,311,4,1320.34082,51.799862,73.26825
465810,5973930,9.62146,0.325,19.921906,0.162162,312,4,3036.37939,48.66346,70.778564
467520,5974020,10.590668,0.340909,21.263489,0.128205,312,4,4110,50.967678,72.602562
469440,5974020,14.711182,0.219048,23.812653,0.184466,312,4,5494.26074,51.803211,73.273064
461190,5974050,11.657745,0.294118,20.879456,0.176471,312,4,684.105225,51.795509,73.263763
461040,5974080,13.918427,0.081633,23.107269,0.137255,313,4,597.745789,52.510471,73.806396
464280,5974080,9.765106,0.259259,19.945496,0.185185,312,4,2038.67603,45.781898,68.448067
472200,5974140,18.630829,0.36,27.06781,0.357143,231,3,6713.16602,51.67263,73.168411
475230,5974170,16.999481,0.111111,28.087006,0.102041,211,3,8087.87988,52.22435,73.585388
470400,5974290,13.259216,0.21519,22.576691,0.162791,312,4,5962.83496,52.247524,73.60997
466650,5974320,13.622955,0.278351,23.316681,0.177778,312,4,3309.25977,52.873775,74.067162
474390,5974320,17.182251,0.28169,23.556335,0.271429,211,3,7544.3291,51.794979,73.265343
462180,5974350,10.766968,0.261905,20.679169,0.191011,312,4,807.774719,51.795841,73.26593
473520,5974470,18.514343,0.084746,29.774872,0.263158,211,3,7004.40576,51.654083,73.161377
473070,5974530,17.379791,0.032787,22.612946,0.54717,211,3,6749.5332,51.789726,73.260353
475590,5974620,17.759003,0.103896,25.839569,0.097222,231,3,7827.70068,51.785316,73.255821
477420,5974650,23.327301,-0.053333,20.491943,0.469697,211,3,8430.48047,51.706676,73.20372
471720,5974830,19.002777,0.246377,26.457825,0.240876,231,3,5895.36279,51.783615,73.254868
467490,5974890,11.956299,0.226667,22.64801,0.068493,312,4,3460.93921,51.845901,73.322136
478140,5975010,17.096191,0.383648,25.366516,0.2,211,3,8350.83789,52.563179,73.864525
478230,5975160,21.211365,0.218935,29.774872,0.218045,211,3,8245.41699,52.423374,73.758629
464160,5975190,18.514343,0.012346,30.425354,-0.093023,112,2,1081.66541,49.84687,71.787025
463650,5975220,16.235779,0.013699,29.423065,-0.083333,112,2,740.945313,51.790699,73.264679
465570,5975220,13.918427,0.204301,28.087006,0.069767,312,4,1909.18835,49.595943,71.578438
472350,5975310,21.561005,0.171429,31.6297,0.169231,231,3,5717.65674,51.560032,73.08432
468870,5975370,10.092957,0.333333,22.53775,0.146341,312,4,4152.26465,51.821789,73.289116
468390,5975460,11.073273,0.333333,23.708099,0.164557,312,4,3734.48804,52.531746,73.839409
468360,5975520,11.087341,0.298701,21.270294,0.178082,312,4,3671.4165,52.945354,74.15033
475080,5975520,15.852264,0.19697,24.641724,0.353383,311,4,6802.13184,51.773331,73.246941
472500,5975550,20.012848,0.212121,31.190308,0.169231,231,3,5582.33838,52.438553,73.750771
