X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
456390,5971170,21.279327,0.183673,30.750061,0.203008,211,3,2614.30689,51.823868,73.280098
452970,5971380,15.082031,0.087379,25.386902,0.128713,242,2,3403.90942,51.818928,73.275299
458190,5971380,17.666382,0.181818,26.741699,0.095238,231,3,2426.84985,52.515442,73.797897
475410,5971380,12.120087,0.548387,20.233002,0.405405,211,3,10621.0596,51.879036,73.324188
468480,5971500,10.85965,0.318182,22.186371,0.170732,312,4,6612.32959,52.66494,73.924721
475590,5971500,18.326752,0.317073,24.27066,0.323529,242,2,10599.1748,51.412182,72.964249
466170,5971620,13.52832,0.135135,20.024963,0.383333,311,4,5134.29639,52.461174,73.795593
468030,5971800,10.044098,0.347368,23.026886,0.175,312,4,6091.99463,52.719261,73.973045
458790,5971920,13.137054,0.128205,24.0224,0.163636,312,4,2001.24963,51.809689,73.267975
461310,5971920,12.744598,0.017544,24.0224,-0.103448,411,5,2713.30054,51.080452,72.704933
455370,5971980,11.16153,0.347826,23.565369,0.146341,312,4,2030.49255,52.388226,73.712837
451800,5972040,19.63974,-0.140127,28.275879,-0.348534,123,1,3214.6228,52.740105,73.971985
452370,5972130,19.265625,0.086957,31.190308,0.008264,123,1,2922.19092,51.99897,73.403305
470640,5972190,18.382446,0.236641,25.221069,0.3125,231,3,7608.65283,51.479012,73.018867
475560,5972190,13.598206,0.573171,17.23407,0.472081,211,3,9974.49219,51.820641,73.281868
452160,5972220,19.63974,0.046875,30.750061,0.024793,123,1,2914.32666,52.761238,73.988266
453810,5972250,16.235779,0.120879,31.190308,-0.011765,312,4,2273.08154,51.750137,73.226974
454170,5972250,11.066345,0.340659,22.187683,0.160494,312,4,2153.53198,51.817039,73.278168
468180,5972340,10.84494,0.282051,20.334778,0.111111,312,4,5791.5542,51.441063,72.99173
469290,5972340,16.416534,0.18,26.543884,0.225225,313,4,6540.4126,51.817886,73.28054
457950,5972430,12.12442,0.287356,22.64801,0.135802,312,4,1355.32288,51.818192,73.280792
462000,5972460,12.744598,0.098039,22.187683,0.020408,411,5,2451.20386,51.807453,73.268646
