X,Y,1999-09-13_TPZ,1999-09-13_NDVI,2002-08-20_TPZ,2002-08-20_NDVI,CLC06,CLC06_p_lato,odl_od_morza,InsCalk_1999-09,InsCalk_2002-08
463320,5970780,31.996063,0.070175,36.360565,0.119048,211,3,4523.7373,48.978909,64.732567
463650,5970840,30.465668,0.210526,29.493835,0.25,211,3,4603.31397,50.402725,65.939484
475470,5970870,25.249146,0.385621,26.464386,0.229167,211,3,11098.2969,48.521168,64.328873
455790,5970900,27.780884,0.036585,30.1604,0.097345,211,3,2971.21191,48.207642,64.053337
456420,5970900,25.44696,0.259259,25.289612,0.28972,211,3,2880.78125,48.269699,64.105911
471720,5970960,24.233307,0.433071,24.395691,0.398058,231,4,9234.78711,48.261913,64.097847
463650,5971050,25.736725,0.287879,25.996368,0.298969,211,3,4406.83545,49.542835,65.207153
474660,5971080,24.588226,0.477612,29.87616,0.345794,211,3,10537.2197,48.774963,64.53447
470430,5971170,19.343445,0.315068,20.641846,0.315068,313,5,8173.27978,48.242699,64.085136
457020,5971230,26.127899,0.333333,24.083496,0.356522,211,3,2520,48.2663,64.103424
458070,5971290,22.479919,0.556962,23.324585,0.415094,231,4,2500.81982,48.325581,64.154358
457440,5971320,22.794952,0.424658,22.475403,0.454545,242,2,2430,48.265358,64.102737
472140,5971350,22.457092,0.4,22.778076,0.464286,231,4,9285.32715,48.261158,64.098587
452760,5971380,26.182678,0.21875,27.628479,0.252747,123,1,3482.3269,48.088196,63.943085
474270,5971380,22.036957,0.552795,26.977722,0.367521,231,4,10089.8613,48.260803,64.098351
475200,5971380,30.794495,-0.026316,35.86084,-0.056911,211,3,10521.2354,48.279083,64.118446
456270,5971440,23.207153,0.381818,23.809845,0.377778,211,3,2355.52539,48.769238,64.547791
456810,5971470,26.107483,0.365517,24.705566,0.428571,211,3,2280.19727,48.607452,64.40538
468270,5971500,20.787994,0.422222,21.791351,0.342105,312,5,6476.10986,48.285622,64.126778
474480,5971500,30.392242,-0.061224,32.332947,-0.044118,211,3,10082.2314,48.257618,64.094589
452640,5971620,24.245514,0.362832,26.534943,0.382979,123,1,3304.08838,48.340229,64.169281
457530,5971650,23.769562,0.51049,24.008423,0.373913,242,2,2100,48.472656,64.287109
473670,5971650,23.57843,0.469388,24.926849,0.364486,231,4,9583.86133,48.254833,64.092682
456780,5971710,26.277924,0.295775,24.998199,0.358491,211,3,2040.8822,48.990089,64.742676
475320,5971710,33.189758,0,33.851318,-0.015385,211,3,10288.9502,47.53447,63.456078
465720,5971830,19.510834,0.508475,19.005341,0.478261,313,5,4709.52246,48.149155,64.00856
475110,5971860,32.792755,-0.065789,33.851318,0.042017,211,3,10055.9092,48.012386,63.881382
471000,5971920,25.635468,0.285714,25.290955,0.287129,231,4,8057.27637,48.549805,64.352585
456090,5972070,21.579987,0.411765,22.473785,0.342105,312,5,1765.67273,48.642517,64.437889
451950,5972190,26.730011,-0.132075,31.824615,-0.108434,123,1,3019.73511,47.539173,63.456177
475560,5972310,32.394836,-0.092105,32.332947,-0.008547,211,3,9869.27051,48.621834,64.419662
452160,5972340,28.367004,0.165217,31.430298,0.195652,123,1,2802.2312,48.255325,64.095284
455580,5972340,24.245514,0.258427,27.717682,0.27027,122,1,1630.24536,48.264782,64.106148
465450,5972400,20.502563,0.469388,20.023956,0.425,313,5,4085.40088,47.42012,63.285179
475740,5972400,33.585938,-0.078947,27.199127,0.010309,211,3,9878.88672,48.269775,64.112663
472170,5972430,22.71994,0.39726,23.434753,0.423729,231,4,8297.04785,48.256615,64.097824
452130,5972460,28.358154,0.232,28.968964,0.326733,123,1,2702.33228,48.254101,64.094383
452400,5972490,28.773895,0.235772,33.169281,0.276596,123,1,2573.88818,48.25378,64.094154
455040,5972490,27.140656,0.102804,31.818878,0.139241,122,1,1641.24951,48.260052,64.101379
456030,5972490,22.51059,0.272727,24.005005,0.214286,122,1,1366.23572,48.8671,64.637436
471270,5972490,25.093567,0.489933,23.985321,0.364486,211,3,7870.12695,48.937439,64.695885
470430,5972520,23.397339,0.355932,22.409027,0.387755,211,3,7233.54688,48.258987,64.10083
457740,5972610,21.580933,0.376344,21.172089,0.342105,312,5,1146.29834,48.600922,64.398163
474120,5972610,24.821594,0.233083,25.98584,0.284404,211,3,8935.41797,48.251507,64.092804
470520,5972670,24.217102,0.459854,23.444214,0.45098,211,3,7198.3125,47.875877,63.76144
472410,5972880,23.344391,0.503268,24.808929,0.327586,231,4,7963.57324,48.252029,64.094452
468360,5972940,27.058533,0.319149,26.197113,0.376147,231,4,5477.11621,48.867634,64.639252
475680,5972940,34.375671,-0.066667,27.717682,0.045455,211,3,9377.09961,48.268188,64.112823
452370,5973090,26.621857,0.191919,29.008972,0.208791,123,1,2028.71875,48.247662,64.089661
475650,5973120,32.792755,-0.040541,27.199127,0.195402,211,3,9205.89453,47.675247,63.584846
476280,5973120,27.106384,0.146667,29.663605,0.189189,211,3,9477.81641,47.913872,63.795059
471660,5973150,26.035492,0.214286,26.690979,0.255319,242,2,7447.31494,47.679619,63.588585
452970,5973180,28.327667,0.136,31.315216,0.204301,112,2,1727.54163,48.249931,64.092628
458670,5973210,22.601288,0.404255,20.607544,0.35,312,5,713.091858,48.25248,64.095871
467820,5973360,22.092926,0.4,22.420319,0.378378,312,5,4803.37402,49.260696,64.982521
457620,5973450,31.996063,0.121212,32.840149,0.152174,242,2,300,48.18047,64.032471
459570,5973480,20.924622,0.462963,19.149231,0.44186,312,5,674.166138,48.246449,64.090179
477690,5973480,23.276093,0.385714,23.542999,0.421053,231,4,9621.91211,48.236103,64.078972
476190,5973570,27.550385,0.012987,27.717682,0.109091,211,3,9028.75391,48.248142,64.092941
476850,5973630,24.925659,0.292035,29.460114,0.23913,231,4,9211.75879,48.266125,64.110504
472860,5973690,29.584869,0.058065,29.780212,0.134615,211,3,7393.21973,48.969254,64.727783
471630,5973750,21.149445,0.428571,21.591003,0.390244,312,5,6871.63721,48.249641,64.095276
453300,5973780,31.195953,0.025,34.355286,0.081081,123,1,1053.42297,48.243797,64.08812
473760,5973780,25.337708,0.310345,29.266296,0.099099,211,3,7727.89746,48.971825,64.730858
454770,5973990,21.579987,0.364706,21.894745,0.323944,312,5,313.209198,48.248009,64.093811
477030,5974050,26.730011,0.056338,25.885468,0.227723,211,3,8870.31543,48.249802,64.09668
476790,5974110,29.584869,-0.006061,29.266296,0.046729,211,3,8737.41992,48.222939,64.070648
476460,5974140,24.510986,0.364341,25.113129,0.125,211,3,8604.5625,48.242321,64.088669
475170,5974170,24.259613,0.306452,25.959534,0.26,211,3,8057.10889,48.636436,64.433807
473880,5974230,24.353302,0.258065,27.455688,0.203883,211,3,7386.64355,47.51075,63.435745
470250,5974350,21.555511,0.389313,23.142212,0.38,231,4,5854.99805,47.827866,63.720604
474630,5974350,25.210663,0.254545,26.621948,0.268817,211,3,7635.81055,47.731239,63.634563
474810,5974350,25.641052,0.253968,26.444489,0.257732,211,3,7721.72266,47.500175,63.428482
466950,5974440,20.603394,0.446809,21.665924,0.392405,313,5,3418.55225,48.965534,64.719826
472980,5974470,26.156708,0.274194,28.751221,0.148936,211,3,6757.4624,48.235802,64.08255
475770,5974560,32.394836,-0.049645,33.787109,0.184466,211,3,7953.39551,48.282177,64.123756
462210,5974620,21.06662,0.402299,21.215515,0.351351,312,5,560.446228,48.237911,64.085236
476670,5974620,25.384399,0.37931,26.997955,0.267327,243,2,8215.61914,47.502831,63.432621
463290,5974710,25.177887,0.365854,25.924255,0.326531,142,2,967.470947,48.229576,64.07753
464910,5974770,20.898743,0.386364,21.35907,0.361111,312,5,1831.72046,47.610039,63.550297
471270,5974800,22.567596,0.382353,23.092804,0.438596,231,4,5761.95264,48.229248,64.076431
467490,5974830,20.79715,0.349398,20.887421,0.315068,312,5,3501.78516,47.668392,63.589748
477450,5974830,28.773895,0.185714,30.292969,0.115385,211,3,8273.09473,48.246567,64.095688
